,case1,case2,case3,case4,case5,case6,case7,case8,case9,case10,case11,case12,case13,case14,case15,case16
2019,12316.68597,12261.11823,12209.26221,12161.03728,12267.07457,12219.88325,12175.76679,12134.66771,12217.8584,12178.92445,12142.45579,12108.41411,12169.0232,11978.0133,12109.32079,12082.26991
2020,12655.26109,12541.88826,12436.89346,12339.94455,12553.89451,12458.26669,12369.44458,12287.19388,12454.09608,12375.73289,12302.71638,12234.89218,12355.82048,12138.23085,12236.68658,12183.02388
2021,12994.27971,12820.85022,12661.41868,12515.2166,12839.00379,12693.68184,12559.54135,12436.04634,12687.2461,12568.93724,12459.25985,12357.86364,12538.8979,12294.25459,12360.52795,12280.63904
2022,13334.25126,13098.49404,12883.30939,12687.29418,13122.89616,12926.60639,12746.51093,12581.6397,12917.78776,12758.99499,12612.51073,12477.7067,12718.70676,12446.54494,12481.22433,12375.4451
2023,13675.65531,13375.27481,13102.99933,12856.57987,13406.03055,13157.4806,12930.76812,12724.35142,13146.16203,12946.3245,12762.85532,12594.76482,12895.65873,12595.52189,12599.12002,12467.74032
2024,14018.94468,13651.6164,13320.88848,13023.44217,13688.83471,13386.71124,13112.69365,12864.52572,13372.77561,13131.30964,12910.64635,12709.34992,13070.13101,12741.5675,12714.52775,12557.79502
2025,14364.54729,13927.91362,13537.34547,13188.2181,13971.70732,13614.67325,13292.63606,13002.4762,13598.00386,13314.30195,13056.20546,12821.7453,13242.46846,12885.03024,12827.73156,12645.854
2026,14712.86829,14204.53483,13752.71043,13351.21616,14255.02062,13841.71351,13470.9153,13138.48886,13822.19291,13495.62381,13199.826,12932.20836,13412.98661,13026.22755,12938.9893,12732.13866
2027,15064.29211,14481.82422,13967.29759,13512.71894,14539.12269,14068.15284,13647.82478,13272.82454,14045.663,13675.57124,13341.77578,13040.97324,13581.9743,13165.44851,13048.53548,12816.84984
2028,15419.18399,14760.10369,14181.3973,13672.98531,14824.33935,14294.28823,13823.63399,13405.72118,14268.70987,13854.41613,13482.29939,13148.25248,13749.69657,13302.95714,13156.58299,12900.16948
2029,15777.89172,15039.67484,14395.27819,13832.25258,15110.9761,14520.39489,13998.59036,13537.39584,14491.60768,14032.40779,13621.62006,13254.23934,13916.39578,13438.99383,13263.32536,12982.26214
2030,16140.74707,15320.82068,14609.18908,13990.73845,15399.31988,14746.72825,14172.92164,13668.04701,14714.61039,14209.77605,13759.94194,13359.10961,14082.29469,13573.77809,13368.93864,13063.27721
2031,16508.06717,15603.80718,14823.36063,14148.64275,15689.64056,14973.52546,14346.83717,13797.85562,14937.95335,14386.73196,13897.45157,13463.02332,14247.59755,13707.51025,13473.58287,13143.34992
2032,16880.15573,15888.88473,15038.00698,14306.149,15982.19249,15201.00735,14520.52965,13926.98736,15161.85561,14563.47005,14034.31975,13566.12586,14412.49191,13840.37336,13577.40365,13222.60296
2033,17257.30422,16176.28945,15253.32711,14463.4259,16277.21572,15429.37926,14694.17689,14055.5935,15386.52049,14740.16956,14170.70239,13668.5497,14577.15019,13972.53445,13680.53349,13301.1474
2034,17639.79286,16466.24443,15469.5062,14620.62865,16574.9373,15658.8329,14867.9428,14183.81264,15612.13766,14916.9958,14306.7428,13770.41544,14741.73106,14104.14636,13783.0928,13379.08414
2035,18027.89167,16758.96084,15686.71681,14777.90012,16875.57236,15889.54738,15041.97871,14311.7713,15838.8838,15094.10148,14442.57191,13871.8329,14906.3804,14235.3486,13885.19151,13456.5046
2036,18421.86129,17054.63897,15905.11997,14935.37198,17179.32512,16121.69008,15216.42453,14439.58576,16066.92414,15271.62778,14578.30983,13972.90216,15071.23274,14366.26928,13986.92953,13533.49166
2037,18821.95383,17353.46912,16124.8662,15093.16569,17486.38988,16355.41793,15391.40957,14567.36225,16296.41298,15449.70523,14714.06687,14073.71445,15236.41218,14497.02518,14088.39807,13610.12065
2038,19228.4136,17655.63251,16346.09641,15251.39338,17796.95185,16590.87816,15567.05397,14695.19854,16527.49516,15628.45496,14849.94437,14174.35294,15402.03336,14627.72353,14189.68027,13686.45984